Affordable 1 bedRooms - 1328 Washtenaw,"1328 Washtenaw Avenue Ann Arbor, MI 48104",1,1,Apartment,"$1,199 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/5xb8va,42.2754811,-83.7324286
Island Drive Apartments,"1099 Maiden Lane Ann Arbor, MI 48105",2,1,Apartment,"$1,205 to $1,285",Move-In: Available Now,Pets Allowed (Cats),Off-Street Parking,http://offcmp.us/3qs7pm,42.2881813,-83.7340331
Park Place of Northville,"43001 Northville Place Drive Northville, MI 48167",2,1,Apartment,"$1,245 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)",Off-Street Parking,http://offcmp.us/kb094c,42.4351583,-83.4692314
Woodland Mews Spacious 1 BedRooms,"275 Fieldcrest Street Ann Arbor, MI 48103",1,1,Apartment,"$1,295 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)",Off-Street Parking,http://offcmp.us/q7q210,42.2519059,-83.7527808
Spacious 1 BedRoom,"1331 Washtenaw Avenue Ann Arbor, MI 48104",1,1,Apartment,"$1,299 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/54s2b1,42.2759103,-83.7319403
1 BedRoom Apartments with A/C- 1309 S. University,"Ann Arbor, MI 48104",1,1,Apartment,"$1,299 ","Move-In: Aug 28, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/gwxgqc,42.2660881,-83.7146001
"Spacious, Modern Studio on South U","1335 South University Avenue Ann Arbor, MI 48104",Studio,1,Apartment,"$1,299 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/0hhlt1,42.2752441,-83.731969
Amazing 2 BedRoom Apartments Available!,"275 Fieldcrest Street Ann Arbor, MI 48103",2,1.5,Apartment,"$1,380 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Garage Parking, Off-Street Parking",http://offcmp.us/glb9yb,42.2519059,-83.7527808
2 BedRoom Apartment Available for ASAP move in!,"Ann Arbor, MI 48103",2,2,Apartment,"$1,495 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)",Off-Street Parking,http://offcmp.us/8xfksx,42.2475863,-83.8260884
The George,"2502 Packard Street Ann Arbor, MI 48104",1,1,Apartment,"$1,546 to $2,579",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Garage Parking, On-Street Parking",http://offcmp.us/xabt5c,42.2501479,-83.7234003
The Courtyards,"1780 Broadway Ann Arbor, MI 48105",1,1,Apartment,"$1,555 ","Move-In: Aug 27, 2018-Aug 5, 2019",Pets Not Allowed,On-Street Parking,http://offcmp.us/osyyhz,42.2966336,-83.7211162
Beautiful Spacious Studio -Central Campus-$1599,"536 South Forest Avenue Ann Arbor, MI 48104",Studio,1,Apartment,"$1,599 ","Move-In: May 3-Sep 1,  2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/xjvyhm,42.2753227,-83.7333555
$1599 - 1 BedRoom With Den,"536 South Forest Avenue Ann Arbor, MI 48104",1,1,Apartment,"$1,599 ","Move-In: May 3-Sep 1,  2019",Pets Not Allowed,Garage Parking,http://offcmp.us/ct2w7j,42.2753227,-83.7333555
2502 Packard Street,"2502 Packard Street Ann Arbor, MI 48104",Studio,1,Apartment,"$1,626 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)",Garage Parking,http://offcmp.us/q40nb8,42.2501479,-83.7234003
"One-North View, 1 Bed 1 Bath","536 South Forest Avenue Ann Arbor, MI 48104",1,1,Apartment,"$1,659 ","Move-In: May 3-Sep 1,  2019                Subletting allowed",Pets Not Allowed,Garage Parking,http://offcmp.us/jfb3bn,42.2753227,-83.7333555
Affordable 2 BedRoom on Campus,"1331 Washtenaw Avenue Ann Arbor, MI 48104",2,1,Apartment,"$1,699 to $1,799","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/87nz8g,42.2759103,-83.7319403
Island Drive Apartments,"1099 Maiden Lane Ann Arbor, MI 48105",3,1,Apartment,"$1,740 to $1,815",Move-In: Available Now,Pets Allowed (Cats),Off-Street Parking,http://offcmp.us/qv9356,42.2881813,-83.7340331
Affordable 2 BedRoom on Campus- 1328 Washtenaw,"1328 Washtenaw Avenue Ann Arbor, MI 48104",2,1,Apartment,"$1,750 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/t76nc6,42.2754811,-83.7324286
Very Large 1-Bed perfect for 2 people,"536 S. Forest Ave Ann Arbor, MI 48104",1,1,Apartment,"$1,759 ","Move-In: May 3-Sep 1,  2019",Pets Not Allowed,"Garage Parking, Off-Street Parking",http://offcmp.us/nrcn1x,42.2753227,-83.7333555
Extra Large One bedRoom ON CENTRAL CAMPUS!,"536 S. Forest Ave. Ann Arbor, MI 48104",1,1,Apartment,"$1,799 ","Move-In: May 3-Sep 1,  2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/4a1xxk,42.2753227,-83.7333555
Woodland Mews! 2 BedRoom Town Homes Available!,"275 Fieldcrest Street Ann Arbor, MI 48103",2,2.5,Apartment,"$1,799 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)",Off-Street Parking,http://offcmp.us/8vzhxn,42.2519059,-83.7527808
Varsity Ann Arbor,"425 E. Washington Street Ann Arbor, MI 48104",Studio,1,Studio,"$1,915 to $1,975",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/1wb092,42.2806018,-83.7429059
HUB Ann Arbor,"306 S. State St. Ann Arbor, MI 48104",Studio,1,Apartment,"$1,929 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/95jm0p,42.2790522,-83.7409798
The Courtyards,"1780 Broadway Ann Arbor, MI 48105",2,2,Apartment,$965 ,"Move-In: Aug 27, 2018-Aug 5, 2019",Pets Not Allowed,Garage Parking,http://offcmp.us/xqeyq4,42.2966336,-83.7211162
Foundry Lofts,"413 E Huron St Ann Arbor, MI 48104",Studio,1,Loft,"$1,949 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/b3hcgg,42.2815404,-83.7432378
Varsity Ann Arbor,"425 E. Washington Street Ann Arbor, MI 48104",1,1,Apartment,"$1,975 to $2,035",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/em7jax,42.2806018,-83.7429059
Renovated 2 bedRoom Apartments w/Balconies - 1336 Geddes,"1336 Geddes Avenue Ann Arbor, MI 48104",2,1,Apartment,"$1,999 ","Move-In: Aug 28, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/0wxmc4,42.2771875,-83.7316598
Landmark - Studio,"1300 South University Avenue Ann Arbor, MI 48104",Studio,1,Apartment,"$2,019 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/0ffxvg,42.274566,-83.7328219
Woodland Mews Townhome with Great Location (up to 4 people),"275 Fieldcrest Street Ann Arbor, MI 48103",2,2.5,Townhouse,"$2,040 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Garage Parking, Off-Street Parking",http://offcmp.us/a4fx33,42.2519059,-83.7527808
Best Price & Best Customer Service!,"536 South Forest Avenue Ann Arbor, MI 48104",2,1,Apartment,"$2,050 ","Move-In: May 3-Sep 1,  2019                Subletting allowed",Pets Not Allowed,Garage Parking,http://offcmp.us/s64ky8,42.2753227,-83.7333555
YOUnion Ann Arbor Apartments,"411 E. Washington St. Ann Arbor, MI 48104",1,1,Apartment,"$2,069 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/g0grs0,42.280452,-83.743587
Shared 2 BedRoom 1 BathRoom,"536 South Forest Avenue Ann Arbor, MI 48104",2,1,Apartment,"$1,045 ","Move-In: May 3-Sep 1,  2019",Pets Not Allowed,Garage Parking,http://offcmp.us/6kly6m,42.2753227,-83.7333555
2 BedRoom-up to 4 people,"536 South Forest Avenue Ann Arbor, MI 48104",2,1,Apartment,"$2,148 ","Move-In: May 3-Sep 1,  2019",Pets Not Allowed,Garage Parking,http://offcmp.us/ls0qc5,42.2753227,-83.7333555
Sterling ArborBLU,"624 Church Street Ann Arbor, MI 48104",1,1,Apartment,"$2,159 to $2,210",Move-In: Available Now,Pets Not Allowed,"Garage Parking, On-Street Parking",http://offcmp.us/l5mpkt,42.273928,-83.7348346
Woodland Mews Townhome with Great Location (up to 8 people),"275 Fieldcrest Street Ann Arbor, MI 48103",2,2,Townhouse,"$2,380 ",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Garage Parking, Off-Street Parking",http://offcmp.us/vrwkt3,42.2519059,-83.7527808
The George,"2502 Packard Street Ann Arbor, MI 48104",2,2,Apartment,"$2,479 to $2,961",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Garage Parking, On-Street Parking",http://offcmp.us/f6w7zg,42.2501479,-83.7234003
Varsity Ann Arbor,"425 E. Washington Street Ann Arbor, MI 48104",2,2,Apartment,"$1,265 to $1,290",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/8f3vlv,42.2806018,-83.7429059
The Courtyards,"1780 Broadway Ann Arbor, MI 48105",3,3,Apartment,$850 ,"Move-In: Aug 27, 2018-Aug 5, 2019",Pets Not Allowed,Garage Parking,http://offcmp.us/vpg17z,42.2966336,-83.7211162
Renovated 3 bedRoom w/Patio - 1336 Geddes,"1336 Geddes Avenue Ann Arbor, MI 48104",3,2,Apartment,"$2,599 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/rlb0qq,42.2771875,-83.7316598
Bi-Level 2 bedRoom Apartments- 1316 Geddes,"1316 Geddes Avenue Ann Arbor, MI 48104",2,1.5,Apartment,"$2,599 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/jvjvnh,42.277172,-83.732507
HUB Ann Arbor,"306 S. State St. Ann Arbor, MI 48104",2,1,Apartment,"$1,329 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/yf6187,42.2790522,-83.7409798
3 BedRoom 1 Bath - per Room,"536 South Forest Avenue Ann Arbor, MI 48104",3,1,Apartment,$899 ,"Move-In: May 1-Sep 1,  2019                Subletting allowed",Pets Not Allowed,No Parking,http://offcmp.us/26watb,42.2753227,-83.7333555
YOUnion Ann Arbor Apartments,"411 E. Washington St. Ann Arbor, MI 48104",2,1,Apartment,"$1,359 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/bgxlpy,42.280452,-83.743587
Renovated 3 bedRoom Apartments - 1364 Geddes,"1364 Geddes Avenue Ann Arbor, MI 48104",3,1,Apartment,"$2,750 ","Move-In: Aug 28, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/hv11tk,42.2769029,-83.7306637
Spacious 3 bedRoom Apartment,"1328 Washtenaw Avenue Ann Arbor, MI 48104",3,2,Apartment,"$2,755 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/1acmkh,42.2754811,-83.7324286
"Landmark - 2 BedRoom, 1 BathRoom","1300 South University Avenue Ann Arbor, MI 48104",2,1,Apartment,"$1,439 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/1n814n,42.274566,-83.7328219
YOUnion Ann Arbor Apartments,"411 E. Washington St. Ann Arbor, MI 48104",3,2,Apartment,"$990 to $1,339",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/kk6ren,42.280452,-83.743587
Sterling ArborBLU,"624 Church Street Ann Arbor, MI 48104",2,2,Apartment,"$1,490 to $1,600",Move-In: Available Now,Pets Not Allowed,"Garage Parking, On-Street Parking",http://offcmp.us/g6g9kl,42.273928,-83.7348346
Spacious 3 bedRooms- 1335 S. University,"1335 South University Avenue Ann Arbor, MI 48104",3,2,Apartment,"$2,999 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/7qc2jq,42.2752441,-83.731969
Foundry Lofts,"413 E Huron St Ann Arbor, MI 48104",2,2,Apartment,"$1,525 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/b2290r,42.2815404,-83.7432378
Bi-Level 3 bedRoom Apartments -1316 Geddes,"1316 Geddes Avenue Ann Arbor, MI 48104",3,1.5,Apartment,"$3,099 to $3,199","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/xavnhg,42.277172,-83.732507
Zaragon West,"401 Thompson Ann Arbor, MI 48104",2,2,Apartment,"$1,600 to $1,650",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/429v6a,42.2775412,-83.7430662
YOUnion Ann Arbor Apartments,"411 E. Washington St. Ann Arbor, MI 48104",4,3,Apartment,"$829 to $1,039",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/6yftjt,42.280452,-83.743587
The Courtyards,"1780 Broadway Ann Arbor, MI 48105",4,4,Apartment,$830 ,"Move-In: Aug 27, 2018-Aug 5, 2019",Pets Not Allowed,Garage Parking,http://offcmp.us/em2hh8,42.2966336,-83.7211162
The George,"2502 Packard Street Ann Arbor, MI 48104",3,2,Apartment,"$3,449 to $3,721",Move-In: Available Now,"Pets Allowed (Cats, Dogs)","Garage Parking, On-Street Parking",http://offcmp.us/27h9ah,42.2501479,-83.7234003
Spacious 4 BedRooms- 1335 S. University,"1335 South University Avenue Ann Arbor, MI 48104",4,2,Apartment,"$3,799 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/h8fcx4,42.2752441,-83.731969
HUB Ann Arbor,"306 S. State St. Ann Arbor, MI 48104",3,3,Apartment,"$1,299 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/935wx1,42.2790522,-83.7409798
YOUnion Ann Arbor Apartments,"411 E. Washington St. Ann Arbor, MI 48104",4,2,Apartment,"$1,009 to $1,119",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/cfv1zw,42.280452,-83.743587
YOUnion Ann Arbor Apartments,"411 East Washington Street Ann Arbor, MI 48104",4,2,Apartment,"$1,009 to $1,119",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/l8b4xn,42.280452,-83.743587
The Yard,"615 South Main Street Ann Arbor, MI 48104",4,4,Apartment,"$1,019 ","Move-In: Aug 27, 2019","Pets Allowed (Cats, Dogs)","Garage Parking, Off-Street Parking",http://offcmp.us/8crngr,42.2734189,-83.748626
Foundry Lofts,"413 E Huron St Ann Arbor, MI 48104",3,3,Apartment,"$1,375 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/fphcj3,42.2815404,-83.7432378
Sterling ArborBLU,"624 Church Street Ann Arbor, MI 48104",3,2,Apartment,"$1,400 to $1,435",Move-In: Available Now,Pets Not Allowed,"Garage Parking, On-Street Parking",http://offcmp.us/zyl1c4,42.273928,-83.7348346
Sterling ArborBLU,"624 Church Street Ann Arbor, MI 48104",3,3,Apartment,"$1,425 to $1,475",Move-In: Available Now,Pets Not Allowed,"Garage Parking, On-Street Parking",http://offcmp.us/vta7ga,42.273928,-83.7348346
HUB Ann Arbor,"306 S. State St. Ann Arbor, MI 48104",4,2,Apartment,"$1,099 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/dq1fg5,42.2790522,-83.7409798
Landmark - 4 BedRoom/2Bath B,"1300 S University Ave Ann Arbor, MI 48104",4,2,Apartment,"$1,139 to $1,529",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/dy2qtg,42.274566,-83.7328219
HUB Ann Arbor,"306 S. State St. Ann Arbor, MI 48104",4,4,Apartment,"$1,149 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/xhbgr7,42.2790522,-83.7409798
Varsity Ann Arbor,"425 E. Washington Street Ann Arbor, MI 48104",4,2,Apartment,"$1,184 to $1,209",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/x0h6k4,42.2806018,-83.7429059
Foundry Lofts,"413 East Huron Street Ann Arbor, MI 48104",4,4,Apartment,"$1,199 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/fpn495,42.2815404,-83.7432378
Varsity Ann Arbor,"435 E. Washington Street Ann Arbor, MI 48104",4,4,Apartment,"$1,215 to $1,240",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/wek0le,42.2805273,-83.743546
Zaragon West,"401 Thompson Ann Arbor, MI 48104",4,3,Apartment,"$1,225 to $1,350",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/v45j9c,42.2775412,-83.7430662
Zaragon Place,"619 E. University Ann Arbor, MI 48101",4,2,Apartment,"$1,250 to $1,300","Move-In: May 1, 2019",Pets Not Allowed,Garage Parking,http://offcmp.us/1srlsn,42.2741662,-83.7354299
City Place Ann Arbor: The City Townhome,"425 S 5th Ave Suite 2A Ann Arbor, MI 48104",6,5,Townhouse,"$885 to $1,150",Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/4c7w48,42.2766348,-83.7459453
Landmark - 4Bed/2Bath-C,"1300 South University Avenue Ann Arbor, MI 48104",4,2,Apartment,"$1,329 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/r3d3ta,42.274566,-83.7328219
City Place Ann Arbor: The Blue Townhome,"425 S. Fifth Avenue, Suite 2A Ann Arbor, MI 48104",6,6,Townhouse,$940 ,Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/e9gfxx,42.2766348,-83.7459453
1315 Washtenaw (5+ bedRoom House),"1315 Washtenaw Avenue Ann Arbor, MI 48104",5,2,House,"$5,799 ","Move-In: Aug 28, 2019                Subletting allowed",Pets Not Allowed,Off-Street Parking,http://offcmp.us/spjrn0,42.2762209,-83.7323965
Sterling ArborBLU,"624 Church Street Ann Arbor, MI 48104",5,4,Apartment,"$1,199 ",Move-In: Available Now,Pets Not Allowed,"Garage Parking, On-Street Parking",http://offcmp.us/zryprv,42.273928,-83.7348346
City Place Ann Arbor: The Arbor Townhome,"425 S. Fifth Avenue Suite 2A Ann Arbor, MI 48104",6,6,Townhouse,"$1,015 ",Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/am3usk,42.2766348,-83.7459453
"Landmark! 5 BedRoom, 4 BathRoom!","1300 South University Avenue Ann Arbor, MI 48104",5,4,Apartment,"$1,499 ",Move-In: Available Now,Pets Not Allowed,Garage Parking,http://offcmp.us/q17n2h,42.274566,-83.7328219
Six11 - SOLD OUT,"611 East University Avenue Ann Arbor, MI 48104",6,6,Apartment,"$1,549 ",Move-In: Available Now,Pets Not Allowed,"Garage Parking, Off-Street Parking",http://offcmp.us/93rdas,42.2745803,-83.7355401
Room IN House.  VERY CLOSE TO CENTRAL CAMPUS AND U OF M HOSPITAL!,"114 NORTH INGALLS ANN ARBOR, MI 48104",1,2,House,$435 ,"Move-In: Sep 1, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/f0z1av,42.281819,-83.7381546
Room IN House WITH OWN HALF-BATH.  VERY CLOSE TO CENTRAL CAMPUS AND U OF M HOSPITAL!,"114 N. INGALLS ANN ARBOR, MI 48104",1,2,House,$495 ,"Move-In: Sep 1, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/dp20x0,42.281819,-83.7381546
Just Like Home  (available starting in January 2018),"1652 N. Maple Rd Ann Arbor, MI 48103",1,1.5,House,$500 ,"Move-In: Jan 1, 2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/u5r0mw,42.2963669,-83.7806753
217 N Normal Unit B,"217 North Normal Street Ypsilanti, MI 48197",Studio,1,Studio,$550 ,Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/qhk5z1,42.2443839,-83.623685
"1 private  Room to rent in quiet,safe, owner occupied House.","3660 Windemere Dr. Ann Arbor, MI 48105",1,1.5,House,$600 ,"Move-In: Nov 18, 2018",Pets Not Allowed,On-Street Parking,http://offcmp.us/j1ad0t,42.2895178,-83.6876311
"Large Room central campus Next  to Ford public policy building,   law and Business schools furnished","715 Hill Ann Arbor, MI 48104",1,4,Room,$625 ,"Move-In: Jan 1, 2019",Pets Not Allowed,"Off-Street Parking, On-Street Parking",http://offcmp.us/la3kvk,42.27331,-83.73226
CENTRAL CAMPUS /  PRIVATE BEDRoom IN A 12 BEDRoom House W/ SHARED KITCHEN - BATHS - LDRY-$650/Room,"402 BENJAMIN ANN ARBOR, MI 48104",1,1,Dorm Style,$650 to $775,Move-In: Available Now,Pets Not Allowed,On-Street Parking,http://offcmp.us/xzz4fj,42.2707146,-83.74413
1 BedRoom available in 1342 N. University Court,"1342 North University Court Ann Arbor, MI 48104",1,1,House,$700 ,"Earliest Move-In:        4/20/19                    Move-Out:                8/24/19",Pets Not Allowed,"Off-Street Parking, On-Street Parking",http://offcmp.us/286k5g,42.2781859,-83.7315042
You want to live here!,"2760 Page Ave Ann Arbor, MI 48104",1,1.5,Room,$750 to $995,Move-In: Available Now,Pets Not Allowed,"Off-Street Parking, On-Street Parking",http://offcmp.us/4rzls2,42.2491043,-83.7251628
Room for Rent,"1412 Cambridge Road Ann Arbor, MI 48104",1,2,House,$750 ,Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/nm9vnp,42.269687,-83.730855
Shah Properties,"221 N. Fifth Avenue Apt. #4 Ann Arbor, MI 48104",1,1,Room,$800 ,Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/pfxjsh,42.2830255,-83.7462046
1030 Church Room #1,"1030 Church Street Ann Arbor, MI 48104",1,2,House,$800 ,Move-In: Available Now,Pets Not Allowed,On-Street Parking,http://offcmp.us/fvn384,42.2687301,-83.7346583
818 Hill Room #1,"818 Hill Street Ann Arbor, MI 48104",1,2,House,$800 ,Move-In: Available Now,Pets Not Allowed,Off-Street Parking,http://offcmp.us/q30xz7,42.2716901,-83.7383115
226 Packard,"226 Packard Street #3 Ann Arbor, MI 48104",Studio,1,House,$805 ,"Move-In: Aug 28, 2019",Pets Not Allowed,No Parking,http://offcmp.us/lrqwcn,42.2755349,-83.7467025
820 East Kingsley,"820 E. Kingsley Ann Arbor, MI 48104",Studio,1,House,$810 ,"Move-In: Aug 28, 2019",Pets Not Allowed,On-Street Parking,http://offcmp.us/c9j8u2,42.2847317,-83.7388185
"Private Room in a Newer Six PRIVATE BedRooms Units walk to DIAG, ROSS, LAW & Ford","828 Greene St Ann arbor, MI 48104",1,2,Apartment,$825 ,"Move-In: Aug 21-Sep 20,  2019",Pets Not Allowed,Off-Street Parking,http://offcmp.us/tphewm,42.2707829,-83.7478436
Willowtree Apartments,"1819 Willowtree Lane Ann Arbor, MI 48105",Studio,1,Apartment,$839 ,Move-In: Available Now,Pets Allowed (Cats),Off-Street Parking,http://offcmp.us/yexabd,42.299676,-83.717937
Willowtree Apartments,"1819 Willowtree Lane Ann Arbor, MI 48105",1,1,Apartment,$864 ,Move-In: Available Now,Pets Allowed (Cats),Off-Street Parking,http://offcmp.us/6y8065,42.299676,-83.717937
Cozy  Room in quiet neighborhood within 20 minute walk of campus,"610 Revena Place Ann Arbor, MI 48103",1,1,House,$875 ,"Move-In: Jan 1, 2019",Pets Not Allowed,On-Street Parking,http://offcmp.us/yhtk0n,42.2866547,-83.7656616
"Furnished BedRoom w Private BathRoom, walk to North Campus, Med Center,  Utilities Included","1548 Jones Drive Ann Arbor, MI 48105",1,1,Duplex,$890 ,"Move-In: Dec 17, 2018",Pets Not Allowed,Off-Street Parking,http://offcmp.us/gv4fjg,42.2943728,-83.7311662
929 Church Street,"929 Church Street Ann Arbor, MI 48104",1,1,Room,$900 ,Move-In: Available Now,Pets Considered,Off-Street Parking,http://offcmp.us/rcn358,42.2704957,-83.7341499
1220 White St (2 br and Studios),"1220 White Street Ann Arbor, MI 48104",2,1,Apartment,"$900 to $1,350","Move-In: Aug 30, 2019                Subletting allowed",Pets Considered,Off-Street Parking,http://offcmp.us/pbdz9c,42.2669383,-83.739607
226 Packard,"226 Packard Street Ann Arbor, MI 48104",Studio,1,House,$915 to $920,"Move-In: Aug 28, 2019",Pets Not Allowed,No Parking,http://offcmp.us/52b9ra,42.2755349,-83.7467025
